model_id,model_steps,env_name,ep_steps,ep_return
MultiTask3NameThisGame,101005440,NameThisGameNoFrameskip-v4,877,1010
MultiTask3NameThisGame,101005440,NameThisGameNoFrameskip-v4,1066,1010
MultiTask3NameThisGame,101005440,NameThisGameNoFrameskip-v4,973,960
MultiTask3NameThisGame,101005440,NameThisGameNoFrameskip-v4,227,50
MultiTask3NameThisGame,101005440,NameThisGameNoFrameskip-v4,1008,870
MultiTask3NameThisGame,101005440,NameThisGameNoFrameskip-v4,1021,980
MultiTask3NameThisGame,101005440,NameThisGameNoFrameskip-v4,877,1010
MultiTask3NameThisGame,101005440,NameThisGameNoFrameskip-v4,1066,1010
MultiTask3NameThisGame,101005440,NameThisGameNoFrameskip-v4,973,960
MultiTask3NameThisGame,101005440,NameThisGameNoFrameskip-v4,227,50
MultiTask3NameThisGame,101005440,NameThisGameNoFrameskip-v4,784,580
MultiTask3NameThisGame,101005440,NameThisGameNoFrameskip-v4,1834,2070
MultiTask3NameThisGame,101005440,NameThisGameNoFrameskip-v4,1785,1920
MultiTask3NameThisGame,101005440,NameThisGameNoFrameskip-v4,1067,1010
MultiTask3NameThisGame,101005440,NameThisGameNoFrameskip-v4,973,960
MultiTask3NameThisGame,101005440,NameThisGameNoFrameskip-v4,227,50
MultiTask3NameThisGame,101005440,NameThisGameNoFrameskip-v4,781,580
MultiTask3NameThisGame,101005440,NameThisGameNoFrameskip-v4,1834,2070
MultiTask3NameThisGame,101005440,NameThisGameNoFrameskip-v4,1785,1920
MultiTask3NameThisGame,101005440,NameThisGameNoFrameskip-v4,1124,890
MultiTask3NameThisGame,101005440,NameThisGameNoFrameskip-v4,869,920
MultiTask3NameThisGame,101005440,NameThisGameNoFrameskip-v4,941,1160
MultiTask3NameThisGame,101005440,NameThisGameNoFrameskip-v4,780,580
MultiTask3NameThisGame,101005440,NameThisGameNoFrameskip-v4,1834,2070
MultiTask3NameThisGame,101005440,NameThisGameNoFrameskip-v4,1785,1920
MultiTask3NameThisGame,101005440,NameThisGameNoFrameskip-v4,1066,1010
MultiTask3NameThisGame,101005440,NameThisGameNoFrameskip-v4,973,960
MultiTask3NameThisGame,101005440,NameThisGameNoFrameskip-v4,227,50
MultiTask3NameThisGame,101005440,NameThisGameNoFrameskip-v4,1128,890
MultiTask3NameThisGame,101005440,NameThisGameNoFrameskip-v4,869,920
MultiTask3NameThisGame,101005440,NameThisGameNoFrameskip-v4,941,1160
MultiTask3NameThisGame,101005440,NameThisGameNoFrameskip-v4,781,580
MultiTask3NameThisGame,102013440,NameThisGameNoFrameskip-v4,1082,1080
MultiTask3NameThisGame,102013440,NameThisGameNoFrameskip-v4,1021,1640
MultiTask3NameThisGame,102013440,NameThisGameNoFrameskip-v4,2935,3950
MultiTask3NameThisGame,102013440,NameThisGameNoFrameskip-v4,1328,1280
MultiTask3NameThisGame,102013440,NameThisGameNoFrameskip-v4,953,1010
MultiTask3NameThisGame,102013440,NameThisGameNoFrameskip-v4,1021,1200
MultiTask3NameThisGame,102013440,NameThisGameNoFrameskip-v4,1087,1080
MultiTask3NameThisGame,102013440,NameThisGameNoFrameskip-v4,1021,1640
MultiTask3NameThisGame,102013440,NameThisGameNoFrameskip-v4,2935,3950
MultiTask3NameThisGame,102013440,NameThisGameNoFrameskip-v4,1084,1080
MultiTask3NameThisGame,102013440,NameThisGameNoFrameskip-v4,1021,1640
MultiTask3NameThisGame,102013440,NameThisGameNoFrameskip-v4,2935,3950
MultiTask3NameThisGame,102013440,NameThisGameNoFrameskip-v4,1323,1280
MultiTask3NameThisGame,102013440,NameThisGameNoFrameskip-v4,953,1010
MultiTask3NameThisGame,102013440,NameThisGameNoFrameskip-v4,1021,1200
MultiTask3NameThisGame,102013440,NameThisGameNoFrameskip-v4,923,1060
MultiTask3NameThisGame,102013440,NameThisGameNoFrameskip-v4,1117,1440
MultiTask3NameThisGame,102013440,NameThisGameNoFrameskip-v4,1005,1430
MultiTask3NameThisGame,102013440,NameThisGameNoFrameskip-v4,1324,1280
MultiTask3NameThisGame,102013440,NameThisGameNoFrameskip-v4,953,1010
MultiTask3NameThisGame,102013440,NameThisGameNoFrameskip-v4,1021,1200
MultiTask3NameThisGame,102013440,NameThisGameNoFrameskip-v4,1328,1280
MultiTask3NameThisGame,102013440,NameThisGameNoFrameskip-v4,953,1010
MultiTask3NameThisGame,102013440,NameThisGameNoFrameskip-v4,1021,1200
MultiTask3NameThisGame,102013440,NameThisGameNoFrameskip-v4,1082,1080
MultiTask3NameThisGame,102013440,NameThisGameNoFrameskip-v4,1021,1640
MultiTask3NameThisGame,102013440,NameThisGameNoFrameskip-v4,2935,3950
MultiTask3NameThisGame,102013440,NameThisGameNoFrameskip-v4,1088,1080
MultiTask3NameThisGame,102013440,NameThisGameNoFrameskip-v4,1021,1640
MultiTask3NameThisGame,102013440,NameThisGameNoFrameskip-v4,2935,3950
MultiTask3NameThisGame,102013440,NameThisGameNoFrameskip-v4,923,1060
MultiTask3NameThisGame,102013440,NameThisGameNoFrameskip-v4,1117,1440
MultiTask3NameThisGame,102013440,NameThisGameNoFrameskip-v4,1005,1430
MultiTask3NameThisGame,102013440,NameThisGameNoFrameskip-v4,1082,1080
MultiTask3NameThisGame,102013440,NameThisGameNoFrameskip-v4,1021,1640
MultiTask3NameThisGame,102013440,NameThisGameNoFrameskip-v4,2935,3950
MultiTask3NameThisGame,102013440,NameThisGameNoFrameskip-v4,928,1060
MultiTask3NameThisGame,102013440,NameThisGameNoFrameskip-v4,1117,1440
MultiTask3NameThisGame,102013440,NameThisGameNoFrameskip-v4,1005,1430
MultiTask3NameThisGame,102013440,NameThisGameNoFrameskip-v4,923,1060
MultiTask3NameThisGame,102013440,NameThisGameNoFrameskip-v4,1117,1440
MultiTask3NameThisGame,102013440,NameThisGameNoFrameskip-v4,1005,1430
MultiTask3NameThisGame,102013440,NameThisGameNoFrameskip-v4,2824,3380
MultiTask3NameThisGame,102013440,NameThisGameNoFrameskip-v4,242,170
MultiTask3NameThisGame,102013440,NameThisGameNoFrameskip-v4,191,50
MultiTask3NameThisGame,102013440,NameThisGameNoFrameskip-v4,1086,1080
MultiTask3NameThisGame,102013440,NameThisGameNoFrameskip-v4,1021,1640
MultiTask3NameThisGame,102013440,NameThisGameNoFrameskip-v4,2935,3950
MultiTask3NameThisGame,102013440,NameThisGameNoFrameskip-v4,1082,1080
MultiTask3NameThisGame,102013440,NameThisGameNoFrameskip-v4,1021,1640
MultiTask3NameThisGame,102013440,NameThisGameNoFrameskip-v4,2935,3950
MultiTask3NameThisGame,102013440,NameThisGameNoFrameskip-v4,924,1060
MultiTask3NameThisGame,102013440,NameThisGameNoFrameskip-v4,1117,1440
MultiTask3NameThisGame,102013440,NameThisGameNoFrameskip-v4,1005,1430
MultiTask3NameThisGame,102013440,NameThisGameNoFrameskip-v4,926,1060
MultiTask3NameThisGame,102013440,NameThisGameNoFrameskip-v4,1117,1440
MultiTask3NameThisGame,102013440,NameThisGameNoFrameskip-v4,1005,1430
MultiTask3NameThisGame,102013440,NameThisGameNoFrameskip-v4,1083,1080
MultiTask3NameThisGame,102013440,NameThisGameNoFrameskip-v4,1021,1640
MultiTask3NameThisGame,102013440,NameThisGameNoFrameskip-v4,2935,3950
MultiTask3NameThisGame,102013440,NameThisGameNoFrameskip-v4,924,1060
MultiTask3NameThisGame,102013440,NameThisGameNoFrameskip-v4,1117,1440
MultiTask3NameThisGame,102013440,NameThisGameNoFrameskip-v4,1005,1430
MultiTask3NameThisGame,102013440,NameThisGameNoFrameskip-v4,2825,3380
MultiTask3NameThisGame,102013440,NameThisGameNoFrameskip-v4,242,170
MultiTask3NameThisGame,102013440,NameThisGameNoFrameskip-v4,191,50
MultiTask3NameThisGame,102013440,NameThisGameNoFrameskip-v4,1087,1080
MultiTask3NameThisGame,102013440,NameThisGameNoFrameskip-v4,1021,1640
MultiTask3NameThisGame,102013440,NameThisGameNoFrameskip-v4,2935,3950
MultiTask3NameThisGame,102013440,NameThisGameNoFrameskip-v4,923,1060
MultiTask3NameThisGame,102013440,NameThisGameNoFrameskip-v4,1117,1440
MultiTask3NameThisGame,102013440,NameThisGameNoFrameskip-v4,1005,1430
MultiTask3NameThisGame,102013440,NameThisGameNoFrameskip-v4,1085,1080
MultiTask3NameThisGame,102013440,NameThisGameNoFrameskip-v4,1021,1640
MultiTask3NameThisGame,102013440,NameThisGameNoFrameskip-v4,2935,3950
MultiTask3NameThisGame,102013440,NameThisGameNoFrameskip-v4,923,1060
MultiTask3NameThisGame,102013440,NameThisGameNoFrameskip-v4,1117,1440
MultiTask3NameThisGame,102013440,NameThisGameNoFrameskip-v4,1005,1430
MultiTask3NameThisGame,102013440,NameThisGameNoFrameskip-v4,1324,1280
MultiTask3NameThisGame,102013440,NameThisGameNoFrameskip-v4,953,1010
MultiTask3NameThisGame,102013440,NameThisGameNoFrameskip-v4,1021,1200
MultiTask3NameThisGame,102013440,NameThisGameNoFrameskip-v4,927,1060
MultiTask3NameThisGame,102013440,NameThisGameNoFrameskip-v4,1117,1440
MultiTask3NameThisGame,102013440,NameThisGameNoFrameskip-v4,1005,1430
MultiTask3NameThisGame,102013440,NameThisGameNoFrameskip-v4,1086,1080
MultiTask3NameThisGame,102013440,NameThisGameNoFrameskip-v4,1021,1640
MultiTask3NameThisGame,102013440,NameThisGameNoFrameskip-v4,2935,3950
MultiTask3NameThisGame,102013440,NameThisGameNoFrameskip-v4,1328,1280
MultiTask3NameThisGame,102013440,NameThisGameNoFrameskip-v4,953,1010
MultiTask3NameThisGame,102013440,NameThisGameNoFrameskip-v4,1021,1200
MultiTask3NameThisGame,102013440,NameThisGameNoFrameskip-v4,921,1060
MultiTask3NameThisGame,102013440,NameThisGameNoFrameskip-v4,1117,1440
MultiTask3NameThisGame,102013440,NameThisGameNoFrameskip-v4,1005,1430
MultiTask3NameThisGame,102013440,NameThisGameNoFrameskip-v4,1323,1280
MultiTask3NameThisGame,102013440,NameThisGameNoFrameskip-v4,953,1010
MultiTask3NameThisGame,102013440,NameThisGameNoFrameskip-v4,1021,1200
MultiTask3NameThisGame,102013440,NameThisGameNoFrameskip-v4,1088,1080
MultiTask3NameThisGame,102013440,NameThisGameNoFrameskip-v4,1021,1640
